eventname, startdate, enddate, location
AMA Motocross Rd1 Fox Raceway,2024-05-25 21:00,2024-05-26 01:00,Pala CA
AMA Motocross Rd2 Hangtown,2024-06-01 21:00,2024-06-02 01:00,Rancho Cordova CA
AMA Motocross Rd3 Thunder Valley,2024-06-08 21:00,2024-06-09 01:00,Lakewood CO
AMA Motocross Rd4 High Point,2024-06-15 18:00,2024-06-15 23:59,Mt Morris PA
AMA Motocross Rd5 Southwick,2024-06-29 18:00,2024-06-29 23:59,Southwick MA
AMA Motocross Rd6 RedBud,2024-07-06 18:00,2024-07-06 23:59,Buchanan MI
AMA Motocross Rd7 Spring Creek,2024-07-13 19:00,2024-07-14 01:00,Millville MN
AMA Motocross Rd8 Washougal,2024-07-20 21:00,2024-07-21 01:00,Washougal WA
AMA Motocross Rd9 Unadilla,2024-08-10 18:00,2024-08-10 23:59,New Berlin NY
AMA Motocross Rd10 Budds Creek,2024-08-17 18:00,2024-08-17 23:59,Mechanisville MD
AMA Motocross Rd11 Ironman,2024-08-24 18:00,2024-08-24 23:59,Crawfordsville IN
